1000 10
4922 134 61
7606 486 91
9953 510 118
11805 680 78
25810 265 151
33273 84 63
34328 189 75
36061 154 37
40906 190 62
59584 774 164
203 0 0 0
204 40906 24 225
205 7606 11 206
206 7606 12 207
207 7606 13 344
208 34328 32 636
209 40906 62 1
210 0 0 0
211 4922 36 441
212 40906 11 707
213 25810 138 9
214 7606 71 215
215 7606 72 948
216 34328 54 192
217 25810 112 446
218 7606 65 219
219 7606 66 395
220 25810 49 49
221 0 0 0
222 25810 114 438
223 25810 99 768
224 40906 7 326
225 40906 25 260
226 33273 10 227
227 33273 11 228
228 33273 12 744
229 25810 67 960
230 33273 52 231
231 33273 53 232
232 33273 54 233
233 33273 55 980
234 34328 69 108
235 0 0 0
236 40906 13 453
237 25810 147 34
238 0 0 0
239 4922 45 506
240 34328 65 772
241 0 0 0
242 4922 20 710
243 40906 29 633
244 4922 50 375
245 40906 22 477
246 34328 72 254
247 0 0 0
248 25810 130 295
249 4922 59 751
250 34328 6 4
251 40906 56 485
252 25810 19 36
253 4922 38 987
254 34328 73 398
255 7606 69 256
256 7606 70 214
257 34328 58 672
258 25810 87 938
259 34328 60 489
260 40906 26 5
261 34328 35 946
262 7606 88 263
263 7606 89 331
264 34328 44 35
265 25810 1 758
266 4922 29 951
267 0 0 0
268 25810 125 974
269 33273 30 270
270 33273 31 271
271 33273 32 703
272 25810 26 104
273 36061 27 274
274 36061 28 275
275 36061 29 276
276 36061 30 277
277 36061 31 490
278 34328 5 250
279 0 0 0
280 4922 4 160
281 0 0 0
282 25810 13 991
283 25810 145 658
284 34328 9 14
285 0 0 0
286 36061 37 1
287 0 0 0
288 4922 6 690
289 0 0 0
290 25810 42 382
291 0 0 0
292 4922 25 305
293 4922 56 662
294 40906 4 37
295 25810 131 508
296 40906 17 964
297 40906 35 421
298 34328 38 679
299 40906 53 353
300 33273 39 301
301 33273 40 57
302 34328 26 706
303 4922 16 953
304 25810 6 635
305 4922 26 336
306 4922 49 244
307 0 0 0
308 25810 120 139
309 0 0 0
310 4922 14 956
311 25810 69 752
312 25810 48 220
313 0 0 0
314 25810 90 405
315 0 0 0
316 34328 37 298
317 7606 42 318
318 7606 43 319
319 7606 44 735
320 25810 140 692
321 0 0 0
322 25810 72 11
323 0 0 0
324 40906 38 503
325 34328 75 1
326 40906 8 367
327 0 0 0
328 25810 75 78
329 0 0 0
330 25810 117 763
331 7606 90 332
332 7606 91 1
333 4922 40 172
334 34328 24 202
335 25810 109 80
336 4922 27 13
337 25810 150 957
338 25810 104 952
339 7606 83 340
340 7606 84 341
341 7606 85 196
342 25810 38 54
343 0 0 0
344 7606 14 345
345 7606 15 152
346 11805 63 347
347 11805 64 348
348 11805 65 349
349 11805 66 350
350 11805 67 351
351 11805 68 148
352 25810 79 8
353 40906 54 440
354 25810 46 500
355 0 0 0
356 25810 136 756
357 0 0 0
358 25810 107 151
359 0 0 0
360 25810 23 771
361 34328 31 208
362 7606 23 363
363 7606 24 364
364 7606 25 663
365 25810 103 338
366 25810 102 365
367 40906 9 43
368 25810 32 950
369 40906 34 297
370 36061 16 371
371 36061 17 372
372 36061 18 373
373 36061 19 730
374 25810 25 272
375 4922 51 701
376 7606 21 377
377 7606 22 362
378 34328 71 246
379 40906 21 245
380 25810 142 115
381 0 0 0
382 25810 43 404
383 0 0 0
384 11805 72 385
385 11805 73 386
386 11805 74 387
387 11805 75 388
388 11805 76 136
389 11805 11 390
390 11805 12 391
391 11805 13 392
392 11805 14 393
393 11805 15 653
394 34328 50 142
395 7606 67 396
396 7606 68 255
397 34328 18 105
398 34328 74 325
399 40906 44 691
400 34328 34 261
401 0 0 0
402 25810 92 941
403 0 0 0
404 25810 44 116
405 25810 91 402
406 0 0 0
407 0 0 0
408 36061 12 409
409 36061 13 410
410 36061 14 411
411 36061 15 370
412 25810 133 738
413 4922 9 141
414 25810 5 304
415 0 0 0
416 0 0 0
417 0 0 0
418 25810 4 414
419 0 0 0
420 34328 13 458
421 40906 36 954
422 33273 4 423
423 33273 5 424
424 33273 6 425
425 33273 7 426
426 33273 8 427
427 33273 9 226
428 34328 67 696
429 0 0 0
430 33273 19 431
431 33273 20 432
432 33273 21 433
433 33273 22 967
434 25810 129 248
435 0 0 0
436 25810 30 31
437 40906 3 294
438 25810 115 110
439 25810 52 168
440 40906 55 251
441 4922 37 253
442 34328 20 201
443 0 0 0
444 25810 21 714
445 4922 42 472
446 25810 113 222
447 0 0 0
448 25810 71 322
449 0 0 0
450 0 0 0
451 0 0 0
452 25810 36 464
453 40906 14 81
454 40906 42 39
455 0 0 0
456 7606 4 457
457 7606 5 186
458 34328 14 708
459 0 0 0
460 36061 24 461
461 36061 25 462
462 36061 26 273
463 25810 15 702
464 25810 37 342
465 0 0 0
466 25810 60 698
467 0 0 0
468 0 0 0
469 0 0 0
470 25810 98 223
471 40906 60 505
472 4922 43 10
473 0 0 0
474 25810 89 314
475 0 0 0
476 0 0 0
477 40906 23 204
478 25810 58 82
479 33273 47 480
480 33273 48 481
481 33273 49 482
482 33273 50 483
483 33273 51 230
484 34328 23 334
485 40906 57 939
486 7606 1 487
487 7606 2 488
488 7606 3 456
489 34328 61 125
490 36061 32 491
491 36061 33 492
492 36061 34 493
493 36061 35 494
494 36061 36 286
495 25810 12 282
496 4922 31 126
497 34328 29 194
498 34328 42 87
499 4922 11 994
500 25810 47 312
501 25810 34 173
502 4922 23 678
503 40906 39 958
504 34328 47 694
505 40906 61 209
506 4922 46 659
507 0 0 0
508 25810 132 412
509 0 0 0
510 9953 1 511
511 9953 2 512
512 9953 3 513
513 9953 4 514
514 9953 5 515
515 9953 6 516
516 9953 7 517
517 9953 8 518
518 9953 9 519
519 9953 10 520
520 9953 11 521
521 9953 12 522
522 9953 13 523
523 9953 14 524
524 9953 15 525
525 9953 16 526
526 9953 17 527
527 9953 18 528
528 9953 19 529
529 9953 20 530
530 9953 21 531
531 9953 22 532
532 9953 23 533
533 9953 24 534
534 9953 25 535
535 9953 26 536
536 9953 27 537
537 9953 28 538
538 9953 29 539
539 9953 30 540
540 9953 31 541
541 9953 32 542
542 9953 33 543
543 9953 34 544
544 9953 35 545
545 9953 36 546
546 9953 37 547
547 9953 38 548
548 9953 39 549
549 9953 40 550
550 9953 41 551
551 9953 42 552
552 9953 43 553
553 9953 44 554
554 9953 45 555
555 9953 46 556
556 9953 47 557
557 9953 48 558
558 9953 49 559
559 9953 50 560
560 9953 51 561
561 9953 52 562
562 9953 53 563
563 9953 54 564
564 9953 55 565
565 9953 56 566
566 9953 57 567
567 9953 58 568
568 9953 59 569
569 9953 60 570
570 9953 61 571
571 9953 62 572
572 9953 63 573
573 9953 64 574
574 9953 65 575
575 9953 66 576
576 9953 67 577
577 9953 68 578
578 9953 69 579
579 9953 70 580
580 9953 71 581
581 9953 72 582
582 9953 73 583
583 9953 74 584
584 9953 75 585
585 9953 76 586
586 9953 77 587
587 9953 78 588
588 9953 79 589
589 9953 80 590
590 9953 81 591
591 9953 82 592
592 9953 83 593
593 9953 84 594
594 9953 85 595
595 9953 86 596
596 9953 87 597
597 9953 88 598
598 9953 89 599
599 9953 90 600
600 9953 91 601
601 9953 92 602
602 9953 93 603
603 9953 94 604
604 9953 95 605
605 9953 96 606
606 9953 97 607
607 9953 98 608
608 9953 99 609
609 9953 100 610
610 9953 101 611
611 9953 102 612
612 9953 103 613
613 9953 104 614
614 9953 105 615
615 9953 106 616
616 9953 107 617
617 9953 108 618
618 9953 109 619
619 9953 110 620
620 9953 111 621
621 9953 112 622
622 9953 113 623
623 9953 114 624
624 9953 115 625
625 9953 116 626
626 9953 117 627
627 9953 118 1
628 34328 63 130
629 7606 56 630
630 7606 57 631
631 7606 58 88
632 25810 40 750
633 40906 30 634
634 40906 31 98
635 25810 7 727
636 34328 33 400
637 33273 61 638
638 33273 62 639
639 33273 63 1
640 25810 96 174
641 40906 47 773
642 11805 24 643
643 11805 25 644
644 11805 26 645
645 11805 27 646
646 11805 28 647
647 11805 29 648
648 11805 30 649
649 11805 31 650
650 11805 32 91
651 25810 122 198
652 34328 49 394
653 11805 16 654
654 11805 17 655
655 11805 18 656
656 11805 19 657
657 11805 20 182
658 25810 146 237
659 4922 47 959
660 25810 28 985
661 0 0 0
662 4922 57 111
663 7606 26 664
664 7606 27 665
665 7606 28 739
666 25810 128 434
667 0 0 0
668 4922 2 944
669 40906 16 296
670 25810 78 352
671 0 0 0
672 34328 59 259
673 0 0 0
674 4922 22 502
675 25810 11 495
676 7606 9 677
677 7606 10 205
678 4922 24 292
679 34328 39 685
680 11805 1 681
681 11805 2 682
682 11805 3 683
683 11805 4 684
684 11805 5 163
685 34328 40 50
686 33273 36 687
687 33273 37 688
688 33273 38 300
689 34328 22 484
690 4922 7 42
691 40906 45 143
692 25810 141 380
693 0 0 0
694 34328 48 652
695 0 0 0
696 34328 68 234
697 0 0 0
698 25810 61 966
699 0 0 0
700 25810 135 356
701 4922 52 754
702 25810 16 27
703 33273 33 704
704 33273 34 705
705 33273 35 686
706 34328 27 159
707 40906 12 236
708 34328 15 978
709 0 0 0
710 4922 21 674
711 0 0 0
712 25810 56 185
713 0 0 0
714 25810 22 360
715 0 0 0
716 11805 45 717
717 11805 46 718
718 11805 47 719
719 11805 48 720
720 11805 49 176
721 25810 101 366
722 40906 49 33
723 40906 51 997
724 25810 18 252
725 0 0 0
726 34328 17 397
727 25810 8 127
728 7606 75 729
729 7606 76 52
730 36061 20 731
731 36061 21 732
732 36061 22 733
733 36061 23 460
734 25810 3 418
735 7606 45 736
736 7606 46 737
737 7606 47 16
738 25810 134 700
739 7606 29 740
740 7606 30 741
741 7606 31 28
742 34328 12 420
743 0 0 0
744 33273 13 745
745 33273 14 746
746 33273 15 747
747 33273 16 748
748 33273 17 749
749 33273 18 430
750 25810 41 290
751 4922 60 175
752 25810 70 448
753 40906 28 243
754 4922 53 986
755 0 0 0
756 25810 137 213
757 0 0 0
758 25810 2 734
759 36061 9 760
760 36061 10 761
761 36061 11 408
762 25810 65 19
763 25810 118 100
764 7606 63 765
765 7606 64 218
766 34328 8 284
767 0 0 0
768 25810 100 721
769 7606 61 770
770 7606 62 764
771 25810 24 374
772 34328 66 428
773 40906 48 722
774 59584 1 775
775 59584 2 776
776 59584 3 777
777 59584 4 778
778 59584 5 779
779 59584 6 780
780 59584 7 781
781 59584 8 782
782 59584 9 783
783 59584 10 784
784 59584 11 785
785 59584 12 786
786 59584 13 787
787 59584 14 788
788 59584 15 789
789 59584 16 790
790 59584 17 791
791 59584 18 792
792 59584 19 793
793 59584 20 794
794 59584 21 795
795 59584 22 796
796 59584 23 797
797 59584 24 798
798 59584 25 799
799 59584 26 800
800 59584 27 801
801 59584 28 802
802 59584 29 803
803 59584 30 804
804 59584 31 805
805 59584 32 806
806 59584 33 807
807 59584 34 808
808 59584 35 809
809 59584 36 810
810 59584 37 811
811 59584 38 812
812 59584 39 813
813 59584 40 814
814 59584 41 815
815 59584 42 816
816 59584 43 817
817 59584 44 818
818 59584 45 819
819 59584 46 820
820 59584 47 821
821 59584 48 822
822 59584 49 823
823 59584 50 824
824 59584 51 825
825 59584 52 826
826 59584 53 827
827 59584 54 828
828 59584 55 829
829 59584 56 830
830 59584 57 831
831 59584 58 832
832 59584 59 833
833 59584 60 834
834 59584 61 835
835 59584 62 836
836 59584 63 837
837 59584 64 838
838 59584 65 839
839 59584 66 840
840 59584 67 841
841 59584 68 842
842 59584 69 843
843 59584 70 844
844 59584 71 845
845 59584 72 846
846 59584 73 847
847 59584 74 848
848 59584 75 849
849 59584 76 850
850 59584 77 851
851 59584 78 852
852 59584 79 853
853 59584 80 854
854 59584 81 855
855 59584 82 856
856 59584 83 857
857 59584 84 858
858 59584 85 859
859 59584 86 860
860 59584 87 861
861 59584 88 862
862 59584 89 863
863 59584 90 864
864 59584 91 865
865 59584 92 866
866 59584 93 867
867 59584 94 868
868 59584 95 869
869 59584 96 870
870 59584 97 871
871 59584 98 872
872 59584 99 873
873 59584 100 874
874 59584 101 875
875 59584 102 876
876 59584 103 877
877 59584 104 878
878 59584 105 879
879 59584 106 880
880 59584 107 881
881 59584 108 882
882 59584 109 883
883 59584 110 884
884 59584 111 885
885 59584 112 886
886 59584 113 887
887 59584 114 888
888 59584 115 889
889 59584 116 890
890 59584 117 891
891 59584 118 892
892 59584 119 893
893 59584 120 894
894 59584 121 895
895 59584 122 896
896 59584 123 897
897 59584 124 898
898 59584 125 899
899 59584 126 900
900 59584 127 901
901 59584 128 902
902 59584 129 903
903 59584 130 904
904 59584 131 905
905 59584 132 906
906 59584 133 907
907 59584 134 908
908 59584 135 909
909 59584 136 910
910 59584 137 911
911 59584 138 912
912 59584 139 913
913 59584 140 914
914 59584 141 915
915 59584 142 916
916 59584 143 917
917 59584 144 918
918 59584 145 919
919 59584 146 920
920 59584 147 921
921 59584 148 922
922 59584 149 923
923 59584 150 924
924 59584 151 925
925 59584 152 926
926 59584 153 927
927 59584 154 928
928 59584 155 929
929 59584 156 930
930 59584 157 931
931 59584 158 932
932 59584 159 933
933 59584 160 934
934 59584 161 935
935 59584 162 936
936 59584 163 937
937 59584 164 1
938 25810 88 474
939 40906 58 129
940 0 0 0
941 25810 93 998
942 7606 81 943
943 7606 82 339
944 4922 3 280
945 0 0 0
946 34328 36 316
947 25810 106 358
948 7606 73 949
949 7606 74 728
950 25810 33 501
951 4922 30 496
952 25810 105 947
953 4922 17 101
954 40906 37 324
955 25810 144 283
956 4922 15 303
957 25810 151 1
958 40906 40 15
959 4922 48 306
960 25810 68 311
961 0 0 0
962 25810 10 675
963 34328 57 257
964 40906 18 46
965 0 0 0
966 25810 62 102
967 33273 23 968
968 33273 24 969
969 33273 25 970
970 33273 26 971
971 33273 27 972
972 33273 28 973
973 33273 29 269
974 25810 126 121
975 0 0 0
976 25810 74 328
977 0 0 0
978 34328 16 726
979 0 0 0
980 33273 56 981
981 33273 57 982
982 33273 58 983
983 33273 59 984
984 33273 60 637
985 25810 29 436
986 4922 54 195
987 4922 39 333
988 7606 79 989
989 7606 80 942
990 25810 86 258
991 25810 14 463
992 25810 54 90
993 0 0 0
994 4922 12 79
995 40906 2 437
996 34328 46 504
997 40906 52 299
998 25810 94 119
999 0 0 0
